分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_22,2.0,0.0,1.0,
HC_22,10.0,1.0,11.0,
PTSD_23,0.0,0.0,1.0,
HC_23,3.0,0.0,2.0,
PTSD_24,1.0,0.0,1.0,
HC_24,0.0,0.0,1.0,
PTSD_25,1.0,0.0,2.0,
HC_25,5.0,0.0,9.0,
PTSD_26,0.0,0.0,2.0,
HC_26,3.0,0.0,2.0,
PTSD_27,3.0,0.0,1.0,
HC_27,4.0,0.0,1.0,
PTSD_28,0.0,0.0,0.0,
HC_28,4.0,0.0,2.0,
PTSD_29,9.0,0.0,10.0,
HC_29,6.0,0.0,11.0,
PTSD_30,3.0,0.0,5.0,
HC_30,1.0,0.0,0.0,
PTSD_31,0.0,0.0,2.0,
HC_31,18.0,1.0,15.0,
PTSD_32,8.0,1.0,6.0,
HC_32,0.0,0.0,4.0,
PTSD_33,11.0,2.0,13.0,
HC_33,16.0,2.0,16.0,
PTSD_34,4.0,0.0,3.0,
HC_34,5.0,0.0,12.0,
PTSD_35,5.0,0.0,9.0,
HC_35,11.0,0.0,11.0,
PTSD_36,2.0,0.0,7.0,
HC_36,5.0,0.0,5.0,
PTSD_37,3.0,0.0,3.0,
HC_37,11.0,0.0,6.0,
PTSD_38,0.0,0.0,9.0,
HC_38,2.0,0.0,0.0,
PTSD_39,0.0,0.0,3.0,
HC_39,2.0,0.0,1.0,
PTSD_40,0.0,0.0,0.0,
HC_40,1.0,0.0,2.0,
PTSD_41,0.0,0.0,2.0,
HC_41,1.0,0.0,2.0,
PTSD_42,0.0,0.0,2.0,
HC_42,0.0,0.0,0.0,
PTSD_43,10.0,0.0,10.0,
HC_43,3.0,1.0,0.0,
PTSD_44,6.0,0.0,8.0,
HC_44,3.0,0.0,2.0,
PTSD_45,2.0,0.0,7.0,
HC_45,0.0,0.0,0.0,
PTSD_46,0.0,0.0,3.0,
HC_46,8.0,1.0,11.0,
PTSD_47,0.0,0.0,2.0,
HC_47,5.0,0.0,3.0,
PTSD_48,5.0,0.0,8.0,
HC_48,1.0,0.0,1.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,41.0,4.0,66.0,
HC_Resting,136.0,5.0,143.0,
PTSD_Count1,62.0,7.0,124.0,
HC_Count1,179.0,11.0,203.0,
PTSD_Speak,42.0,7.0,53.0,
HC_Speak,90.0,5.0,83.0,
PTSD_Count2,56.0,5.0,82.0,
HC_Count2,118.0,6.0,115.0,
PTSD_Listen,58.0,9.0,76.0,
HC_Listen,95.0,5.0,90.0,
PTSD_Count3,45.0,6.0,65.0,
HC_Count3,144.0,4.0,144.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,53.0,7.0,40.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,22.0,2.0,12.0,
dxy,17.0,5.0,16.0,
total,14.0,0.0,12.0,
组间不同通道显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
1,2.0,0.0,0.0,
2,1.0,0.0,0.0,
3,4.0,1.0,1.0,
4,6.0,2.0,2.0,
5,6.0,1.0,5.0,
6,2.0,0.0,1.0,
7,0.0,0.0,0.0,
8,0.0,0.0,0.0,
9,0.0,0.0,0.0,
10,0.0,0.0,0.0,
11,0.0,0.0,0.0,
12,1.0,0.0,3.0,
13,4.0,0.0,0.0,
14,2.0,0.0,2.0,
15,0.0,0.0,0.0,
16,0.0,0.0,0.0,
17,3.0,1.0,0.0,
18,0.0,0.0,2.0,
19,3.0,1.0,4.0,
20,2.0,0.0,2.0,
21,2.0,1.0,2.0,
22,2.0,0.0,2.0,
23,0.0,0.0,2.0,
24,0.0,0.0,0.0,
25,0.0,0.0,0.0,
26,0.0,0.0,0.0,
27,1.0,0.0,0.0,
28,0.0,0.0,0.0,
29,0.0,0.0,0.0,
30,0.0,0.0,0.0,
31,3.0,0.0,2.0,
32,0.0,0.0,1.0,
33,2.0,0.0,2.0,
34,1.0,0.0,0.0,
35,1.0,0.0,0.0,
36,0.0,0.0,0.0,
37,1.0,0.0,1.0,
38,0.0,0.0,1.0,
39,1.0,0.0,0.0,
40,0.0,0.0,1.0,
41,0.0,0.0,1.0,
42,0.0,0.0,1.0,
43,0.0,0.0,0.0,
44,1.0,0.0,2.0,
45,0.0,0.0,0.0,
46,0.0,0.0,0.0,
47,0.0,0.0,0.0,
48,2.0,0.0,0.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,3.0,0.0,0.0,
Count1,2.0,0.0,3.0,
Speak,12.0,5.0,5.0,
Count2,10.0,0.0,10.0,
Listen,7.0,1.0,7.0,
Count3,19.0,1.0,15.0,
