分通道结果,
任务间总显著性,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_29,30.0,30.0,30.0,
HC_29,27.0,6.0,30.0,
PTSD_30,30.0,30.0,30.0,
HC_30,33.0,21.0,36.0,
PTSD_31,30.0,21.0,33.0,
HC_31,27.0,18.0,27.0,
PTSD_32,33.0,33.0,33.0,
HC_32,36.0,9.0,33.0,
PTSD_33,27.0,18.0,27.0,
HC_33,27.0,3.0,27.0,
PTSD_34,33.0,12.0,30.0,
HC_34,30.0,18.0,27.0,
PTSD_35,27.0,9.0,27.0,
HC_35,27.0,18.0,27.0,
PTSD_36,27.0,27.0,27.0,
HC_36,33.0,9.0,33.0,
PTSD_37,33.0,12.0,30.0,
HC_37,27.0,18.0,27.0,
PTSD_38,33.0,33.0,27.0,
HC_38,27.0,9.0,27.0,
PTSD_39,27.0,27.0,27.0,
HC_39,27.0,27.0,27.0,
PTSD_40,39.0,39.0,39.0,
HC_40,30.0,18.0,27.0,
PTSD_41,33.0,21.0,33.0,
HC_41,27.0,18.0,27.0,
PTSD_42,33.0,33.0,30.0,
HC_42,27.0,18.0,30.0,
PTSD_43,30.0,30.0,30.0,
HC_43,27.0,0.0,30.0,
PTSD_44,27.0,27.0,27.0,
HC_44,27.0,18.0,27.0,
PTSD_45,27.0,18.0,27.0,
HC_45,27.0,12.0,27.0,
PTSD_46,30.0,9.0,27.0,
HC_46,27.0,27.0,27.0,
PTSD_47,27.0,12.0,30.0,
HC_47,30.0,30.0,30.0,
PTSD_48,27.0,27.0,27.0,
HC_48,27.0,9.0,27.0,
任务间不同任务阶段显著性分布,
类别,配对t检验显著,配对t检验显著且正态,Wilcoxon符号秩检验显著,
PTSD_Resting,507.0,354.0,513.0,
HC_Resting,447.0,189.0,453.0,
PTSD_Count1,456.0,339.0,453.0,
HC_Count1,453.0,129.0,459.0,
PTSD_Speak,501.0,360.0,504.0,
HC_Speak,447.0,195.0,450.0,
PTSD_Count2,471.0,294.0,465.0,
HC_Count2,477.0,201.0,480.0,
PTSD_Listen,456.0,336.0,459.0,
HC_Listen,438.0,186.0,441.0,
PTSD_Count3,465.0,333.0,456.0,
HC_Count3,468.0,258.0,465.0,
组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,42.0,30.0,39.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,14.0,10.0,13.0,
dxy,14.0,10.0,13.0,
total,14.0,10.0,13.0,
组间不同通道显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
1,0.0,0.0,0.0,
2,3.0,3.0,3.0,
3,0.0,0.0,0.0,
4,3.0,3.0,3.0,
5,3.0,3.0,3.0,
6,0.0,0.0,0.0,
7,0.0,0.0,0.0,
8,3.0,3.0,3.0,
9,0.0,0.0,0.0,
10,0.0,0.0,0.0,
11,0.0,0.0,0.0,
12,0.0,0.0,0.0,
13,0.0,0.0,0.0,
14,0.0,0.0,0.0,
15,3.0,3.0,3.0,
16,6.0,3.0,3.0,
17,3.0,0.0,3.0,
18,0.0,0.0,0.0,
19,0.0,0.0,0.0,
20,0.0,0.0,0.0,
21,0.0,0.0,0.0,
22,0.0,0.0,3.0,
23,0.0,0.0,0.0,
24,0.0,0.0,0.0,
25,0.0,0.0,0.0,
26,0.0,0.0,0.0,
27,0.0,0.0,0.0,
28,0.0,0.0,3.0,
29,0.0,0.0,0.0,
30,0.0,0.0,0.0,
31,3.0,3.0,3.0,
32,0.0,0.0,0.0,
33,0.0,0.0,0.0,
34,3.0,0.0,0.0,
35,0.0,0.0,0.0,
36,3.0,0.0,3.0,
37,3.0,3.0,3.0,
38,3.0,3.0,0.0,
39,3.0,3.0,3.0,
40,0.0,0.0,0.0,
41,0.0,0.0,0.0,
42,0.0,0.0,0.0,
43,0.0,0.0,0.0,
44,0.0,0.0,0.0,
45,0.0,0.0,0.0,
46,0.0,0.0,0.0,
47,0.0,0.0,0.0,
48,0.0,0.0,0.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,12.0,9.0,15.0,
Count1,0.0,0.0,3.0,
Speak,9.0,9.0,9.0,
Count2,9.0,3.0,6.0,
Listen,6.0,6.0,6.0,
Count3,6.0,3.0,0.0,
